2025-05-11 23:11:33,489 - INFO: Successfully loaded combined ML model.
2025-05-11 23:18:40,474 - INFO: Successfully loaded combined ML model.
2025-05-11 23:18:47,309 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,329 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,351 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,375 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,394 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,416 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,438 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,463 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,482 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,505 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,531 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,553 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,572 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,597 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,616 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,637 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,663 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,683 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,702 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,729 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,748 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,768 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,791 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,814 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,834 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,859 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,879 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,900 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,925 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,945 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,966 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:47,990 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,010 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,032 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,055 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,079 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,101 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,122 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,146 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,164 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,188 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,210 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,230 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,253 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,275 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,299 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,317 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,370 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,401 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
2025-05-11 23:18:48,407 - ERROR: Error using ML model: X has 82 features, but StandardScaler is expecting 87 features as input.. Falling back to rule-based driving.
